3295,"Kluang Airport","Kluang","Malaysia",\N,"WMAP",2.04138994217,103.306999207,150,8,"N","Asia/Kuala_Lumpur","airport","OurAirports"
3296,"Sultan Abdul Halim Airport","Alor Setar","Malaysia","AOR","WMKA",6.189670085906982,100.39800262451172,15,8,"N","Asia/Kuala_Lumpur","airport","OurAirports"
3297,"Butterworth Airport","Butterworth","Malaysia","BWH","WMKB",5.4659199714660645,100.39099884033203,11,8,"N","Asia/Kuala_Lumpur","airport","OurAirports"
3298,"Sultan Ismail Petra Airport","Kota Bahru","Malaysia","KBR","WMKC",6.1668500900268555,102.29299926757812,16,8,"N","Asia/Kuala_Lumpur","airport","OurAirports"
3299,"Kuantan Airport","Kuantan","Malaysia","KUA","WMKD",3.7753899097442627,103.20899963378906,58,8,"N","Asia/Kuala_Lumpur","airport","OurAirports"
3300,"Kerteh Airport","Kerteh","Malaysia","KTE","WMKE",4.537220001220703,103.427001953125,18,8,"N","Asia/Kuala_Lumpur","airport","OurAirports"
3301,"Simpang Airport","Simpang","Malaysia",\N,"WMKF",3.1122500896453857,101.7030029296875,111,8,"N","Asia/Kuala_Lumpur","airport","OurAirports"
3302,"Sultan Azlan Shah Airport","Ipoh","Malaysia","IPH","WMKI",4.567969799041748,101.09200286865234,130,8,"N","Asia/Kuala_Lumpur","airport","OurAirports"
3303,"Senai International Airport","Johor Bahru","Malaysia","JHB","WMKJ",1.64131,103.669998,135,8,"N","Asia/Kuala_Lumpur","airport","OurAirports"
3304,"Kuala Lumpur International Airport","Kuala Lumpur","Malaysia","KUL","WMKK",2.745579957962,101.70999908447,69,8,"N","Asia/Kuala_Lumpur","airport","OurAirports"
3305,"Langkawi International Airport","Langkawi","Malaysia","LGK","WMKL",6.329730033874512,99.72869873046875,29,8,"N","Asia/Kuala_Lumpur","airport","OurAirports"
3306,"Malacca Airport","Malacca","Malaysia","MKZ","WMKM",2.2633600235,102.251998901,35,8,"N","Asia/Kuala_Lumpur","airport","OurAirports"
3307,"Sultan Mahmud Airport","Kuala Terengganu","Malaysia","TGG","WMKN",5.3826398849487305,103.10299682617188,21,8,"N","Asia/Kuala_Lumpur","airport","OurAirports"
3308,"Penang International Airport","Penang","Malaysia","PEN","WMKP",5.297140121459961,100.2770004272461,11,8,"N","Asia/Kuala_Lumpur","airport","OurAirports"
3309,"Suai Airport","Suai","East Timor","UAI","WPDB",-9.30331039428711,125.28700256347656,96,9,"U","Asia/Dili","airport","OurAirports"
3310,"Presidente Nicolau Lobato International Airport","Dili","East Timor","DIL","WPDL",-8.54640007019,125.526000977,154,9,"U","Asia/Dili","airport","OurAirports"
3311,"Cakung Airport","Baucau","East Timor","BCH","WPEC",-8.489029884339999,126.401000977,1771,9,"U","Asia/Dili","airport","OurAirports"
3312,"Sembawang Air Base","Sembawang","Singapore",\N,"WSAG",1.4252599477767944,103.81300354003906,86,8,"N","Asia/Singapore","airport","OurAirports"
3313,"Paya Lebar Air Base","Paya Lebar","Singapore","QPG","WSAP",1.3604199886322021,103.91000366210938,65,8,"N","Asia/Singapore","airport","OurAirports"
3314,"Tengah Air Base","Tengah","Singapore","TGA","WSAT",1.38725996017,103.708999634,50,8,"N","Asia/Singapore","airport","OurAirports"
3315,"Seletar Airport","Singapore","Singapore","XSP","WSSL",1.416949987411499,103.86799621582031,36,8,"N","Asia/Singapore","airport","OurAirports"
3316,"Singapore Changi Airport","Singapore","Singapore","SIN","WSSS",1.35019,103.994003,22,8,"N","Asia/Singapore","airport","OurAirports"
3317,"Brisbane Archerfield Airport","Brisbane","Australia","ACF","YBAF",-27.5702991486,153.007995605,63,10,"O","Australia/Brisbane","airport","OurAirports"
3318,"Northern Peninsula Airport","Amberley","Australia","ABM","YBAM",-10.9508,142.459,34,10,"O","Australia/Brisbane","airport","OurAirports"
3319,"Alice Springs Airport","Alice Springs","Australia","ASP","YBAS",-23.806699752807617,133.90199279785156,1789,9.5,"N","Australia/Darwin","airport","OurAirports"
3320,"Brisbane International Airport","Brisbane","Australia","BNE","YBBN",-27.384199142456055,153.11700439453125,13,10,"N","Australia/Brisbane","airport","OurAirports"
3321,"Gold Coast Airport","Coolangatta","Australia","OOL","YBCG",-28.1644001007,153.505004883,21,10,"N","Australia/Brisbane","airport","OurAirports"
3322,"Cairns International Airport","Cairns","Australia","CNS","YBCS",-16.885799408,145.755004883,10,10,"N","Australia/Brisbane","airport","OurAirports"
3323,"Charleville Airport","Charlieville","Australia","CTL","YBCV",-26.4132995605,146.261993408,1003,10,"O","Australia/Brisbane","airport","OurAirports"
3324,"Mount Isa Airport","Mount Isa","Australia","ISA","YBMA",-20.663900375399997,139.488998413,1121,10,"O","Australia/Brisbane","airport","OurAirports"
3325,"Sunshine Coast Airport","Maroochydore","Australia","MCY","YBMC",-26.6033,153.091003,15,10,"O","Australia/Brisbane","airport","OurAirports"
3326,"Mackay Airport","Mackay","Australia","MKY","YBMK",-21.171699523900003,149.179992676,19,10,"O","Australia/Brisbane","airport","OurAirports"
3328,"Proserpine Whitsunday Coast Airport","Prosserpine","Australia","PPP","YBPN",-20.4950008392,148.552001953,82,10,"O","Australia/Brisbane","airport","OurAirports"
3329,"Rockhampton Airport","Rockhampton","Australia","ROK","YBRK",-23.3819007874,150.475006104,34,10,"O","Australia/Brisbane","airport","OurAirports"
3330,"Townsville Airport","Townsville","Australia","TSV","YBTL",-19.252500534057617,146.76499938964844,18,10,"N","Australia/Brisbane","airport","OurAirports"
3331,"Weipa Airport","Weipa","Australia","WEI","YBWP",-12.6786003113,141.925003052,63,10,"O","Australia/Brisbane","airport","OurAirports"
3332,"Avalon Airport","Avalon","Australia","AVV","YMAV",-38.039398,144.468994,35,10,"O","Australia/Hobart","airport","OurAirports"
3333,"Albury Airport","Albury","Australia","ABX","YMAY",-36.06779861450195,146.95799255371094,539,10,"O","Australia/Sydney","airport","OurAirports"
3334,"Melbourne Essendon Airport","Melbourne","Australia","MEB","YMEN",-37.7281,144.901993,282,10,"O","Australia/Hobart","airport","OurAirports"
3335,"RAAF Base East Sale","East Sale","Australia",\N,"YMES",-38.098899841299996,147.149002075,23,10,"O","Australia/Hobart","airport","OurAirports"
3336,"Hobart International Airport","Hobart","Australia","HBA","YMHB",-42.836101532,147.509994507,13,10,"O","Australia/Melbourne","airport","OurAirports"
3337,"Launceston Airport","Launceston","Australia","LST","YMLT",-41.54529953,147.214004517,562,10,"O","Australia/Melbourne","airport","OurAirports"
